id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
51;erva-mate;Erva-mate;Ilex paraguariensisSt. Hill.;Nativa;NA FA O IND RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;4-8m;;;;MS, SP até o RS.;mudas/mapas/Erva_mate.jpg;
52;espatodea;Espatódea;Spathodea nilotica Seem;Exótica;EX O FLOR RMC;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar;D;Decídua;15-20m;novembro-abril;vermelho-alaranjada;;Cultivada em todo o Brasil.;mudas/mapas/Espatódea.jpg;
53;espinheira-santa;Espinheira-santa;Maytenus ilicifolia Mart. ex. Reiss.;Nativa;NA FA O;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;4-5m;;;;RS, SC, PR, SP e MS.;mudas/mapas/Espinheira_santa.jpg;
54;eucalipto-limao;Eucalipto-limão;Eucalyptus citriodora Hook. F.;Exótica;EX O IND;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);P;Perenifólia;15-30m;;;;Cultivado no PR, SC e RS.;mudas/mapas/Eucalipto_limão.jpg;
55;eucalipto-cidra;Eucalipto-cidra;Eucalyptus dunni Maiden;Exótica;EX O IND;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);P;Perenifólia;30-35m;;;;Cultivado no PR, SC e RS.;mudas/mapas/Eucalipto_cidra.jpg;
56;eucalipto-rosa;Eucalipto-rosa;Eucalyptus grandis W. Hill ex Maiden;Exótica;EX IND;Espécie exótica | Produção industrial (larga escala);P;Perenifólia;20-40m;;;;Cultivado em todo o Brasil.;mudas/mapas/Eucalipto_rosa.jpg;
57;falsa-canela;Falsa-canela;Cinnamomum burmanni (Nees & T. Nees) Blume;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;6-8m;;;;Cultivada em todo o Brasil.;mudas/mapas/Falsa_canela.jpg;
58;falso-barbatimao;Falso-barbatimão;Cassia leptophylla Vog.;Nativa;NA FA O FLOR RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;P;Perenifólia;8-10m;novembro-janeiro;amarela;;PR e SC. É cultivado no RS.;mudas/mapas/Falso_barbatimão.jpg;
59;farinha-seca;Farinha-seca;Machaerium stipitatum (DC.) Vog.;Nativa;NA O RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;10-20m;;;;RJ, SP, MG, MS até o RS.;mudas/mapas/Farinha_seca.jpg;
60;figueira-folha-fina;Figueira-folha-fina;Ficus enormis (Mart. ex Miq.) Miq;Nativa;NA FA S RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Recuperação de áreas degradadas;P;Perenifólia;6-14m;;;;Todo o Brasil.;mudas/mapas/Figueira_folha_fina.jpg;
61;figueira-mata-pau;Figueira-mata-pau;Ficus guaraniticaSchodat;Nativa;NA FA S O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;P;Perenifólia;10-20m;;;;RJ, MG, MS, GO, SP e PR. É cultivada em SC.;mudas/mapas/Figueira_mata_pau.jpg;
62;flamboyant;Flamboyant;Delonix regia (Bojer ex Hook.) Raf.;Exótica;EX S O FLOR;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;D;Decídua;10-12m;outubro-janeiro;vermelha;;Cultivado em todo Brasil.;mudas/mapas/Flamboyant.jpg;
