id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
109;palmeira-buriti;Palmeira-buriti;Trithrinax brasiliensis Mart.;Nativa;NA FA O;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;2-13m;;;a partir de setembro;PR, SC e RS.;mudas/mapas/Palmeira_buriti.jpg;
110;palmeira-real;Palmeira-real;Archontophoenix alexandrae (F. Muell.) H. Wendl. & Drude;Exótica;EX FH O IND;Espécie exótica | Consumo humano de fruto | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);P;Perenifólia;18-22m;;;;É cultivada no Sudeste e Sul do Brasil.;mudas/mapas/Palmeira_real.jpg;
111;palmiteiro;Palmiteiro;Euterpe edulis Mart.;Nativa;NA FA O IND RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Recuperação de áreas degradadas;P;Perenifólia;10-20m;;;abril-agosto;Sul da BA, MS, MG até o RS.;mudas/mapas/Palmiteiro.jpg;
112;pata-de-vaca;Pata-de-vaca;Bauhinia forficata Link;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;5-9m;outubro-janeiro;branca;;RJ, MG até o RS.;mudas/mapas/Pata_de_vaca.jpg;
113;pau-brasil;Pau-Brasil;Caesalpinea echinata Lam.;Nativa;NA O FLOR RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;SD;Semidecídua;8-12m;setembro-outubro;amarela;;CE até o RJ. Pode ser cultivado como curiosidade em SP, PR, SC e RS.;mudas/mapas/Pau_brasil.jpg;
114;pau-cigarra;Pau-cigarra;Senna multijuga (Rich.) Irwin et Barn.;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;6-10m;dezembro-abril;amarela;;Todo o Brasil.;mudas/mapas/Pau_cigarra.jpg;
115;pau-ferro;Pau-ferro;Caesalpinea ferrea Mart. ex Tul. var. leiostachya Benth.;Nativa;NA S O RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;20-30m;;;;PI até SP. É cultivada no PR, SC.;mudas/mapas/Pau_ferro.jpg;
116;pau-formiga;Pau-formiga;Triplaris brasiliana Cham. ;Nativa;NA O FLOR RMC RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;10-20m;agosto-outubro;rosa;;MT, MS, SP. É cultivada no PR, SC e RS.;mudas/mapas/Pau_formiga.jpg;
117;pau-jacare;Pau-jacaré;Piptadenia gonoacantha (Mart.) Macbr.;Nativa;NA FA O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;10-20m;;;;RJ, MG, MS até SC.;mudas/mapas/Pau_jacaré.jpg;
118;pau-oleo;Pau-óleo;Copaifera trapezifolia Hayne;Nativa;NA FA RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Recuperação de áreas degradadas;P;Perenifólia;10-25m;;;;BA,MG, PE, PR, RS, SC e SP..;mudas/mapas/Pau_óleo.jpg;
119;peroba;Peroba;Aspidosperma parvifolium A. DC.;Nativa;NA O;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural);SD;Semidecídua;10-15m;;;;Sul da BA até o RS, MG, GO e MS.;mudas/mapas/Peroba.jpg;
120;pinheiro-alemao;Pinheiro-alemão;Cunninghamia lanceolata (Lamb.) Hooker f.;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;25-45m;;;;Cultivado no Sul do Brasil.;mudas/mapas/Pinheiro_alemão.jpg;
121;pinheiro-brasileiro;Pinheiro-brasileiro;Araucaria angustifolia (Bert.) Kuntze;Nativa;NA FH FA O IND RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;20-50m;;;abril-maio;MG, RJ até o RS.;mudas/mapas/Pinheiro_brasileiro.jpg;
122;pinheiro-de-natal;Pinheiro-de-natal;Araucaria columnaris (Forst.) Hook.;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;40-60m;;;;Cultivado no PR, SC e RS.;mudas/mapas/Pinheiro_de_natal.jpg;
123;pinus;Pinus;Pinus taeda L.;Exótica;EX S O IND;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);SD;Semidecídua;25-30m;;;;Cultivado principalmente no RS e SC.;mudas/mapas/Pinus.jpg;
124;pitanga;Pitanga;Eugenia uniflora L.;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;6-12m;;;outubro-janeiro;MG até o RS.;mudas/mapas/Pitanga.jpg;
125;platano;Plátano;Platanus acerifolia (Aiton) Willd.;Exótica;EX S O;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural);D;Decídua;20-30m;;;;Cultivado no Sul do Brasil.;mudas/mapas/Plátano.jpg;
126;quaresmeira;Quaresmeira;Tibouchina granulosa Cogn.;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;8-12m;junho-agosto e dezembro-março;lilás;;BA, RJ, SP e MG. É cultivada em SC.;mudas/mapas/Quaresmeira.jpg;
127;roma;Romã;Punica granatumL.;Exótica;EX FH O FLOR;Espécie exótica | Consumo humano de fruto | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;SD;Semidecídua;3-4m;a partir de setembro;vermelho-alaranjada;;Cultivado em todo Brasil.;mudas/mapas/Romã.jpg;
128;salso-chorao;Salso-chorão;Salix alba L.;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);D;Decídua;10-20m;;;;Cultivado nas regiões de altitude do Sul do Brasil.;mudas/mapas/Salso_chorão.jpg;
129;sete-capotes;Sete-capotes;Campomanesia guazumifolia (Camb.) Berg;Nativa;NA FH FA O RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;D;Decídua;6-10m;;;março-maio;RJ, MG, SP, MS até o RS.;mudas/mapas/Sete_capotes.jpg;
130;sibipiruna;Sibipiruna;Caesalpinea peltophoroides Benth.;Nativa;NA S O FLOR RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;SD;Semidecídua;8-16m;agosto-novembro;amarela;;RJ, BA e MS. É cultivada em SP, PR, SC e RS.;mudas/mapas/Sibipiruna.jpg;
131;sombreiro;Sombreiro;Clitoria fairchildiana Howard;Nativa;NA S O RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;6-12m;;;;AM, PA, MA e TO. É cultivado como ornamental nos estados do Sul e Sudeste do Brasil;mudas/mapas/Sombreiro.jpg;
132;tanheiro;Tanheiro;Alchornea triplinervia (Spreng.) M. Arg.;Nativa;NA FA S RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Recuperação de áreas degradadas;P;Perenifólia;15-30m;;;;BA ao RS.;mudas/mapas/Tanheiro.jpg;
133;taruma;Tarumã;Vitex montevidensis Cham. ;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;5-20m;;;janeiro-março;MG, MS até o RS.;mudas/mapas/Tarumã.jpg;
134;timbauva;Timbaúva;Enterolobium contortisiliquum (Vell.) Morong;Nativa;NA S O RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-35m;;;;PA, MA, PI até MS e RS.;mudas/mapas/Timbaúva.jpg;
135;timbo;Timbó;Ateleia glazioveana Baill.;Nativa;NA S O RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;D;Decídua;8-18m;;;;PR ao RS.;mudas/mapas/Timbó.jpg;
136;tipuana-;Tipuana ;Tipuana tipu (Benth.) Kuntze;Exótica;EX S O FLOR;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;D;Decídua;12-15m;setembro-dezembro;amarela;;Cultivada nas regiões Sul e Sudeste do Brasil.;mudas/mapas/Tipuana.jpg;
137;tucaneira;Tucaneira;Cytharexylum myrianthum Cham.;Nativa;NA FA O RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;8-20m;;;;BA ao RS.;mudas/mapas/Tucaneira.jpg;
138;tuia;Tuia;Thuja occidentalis L.;Exótica;EX O;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural);P;Perenifólia;15-20m;;;;Cultivada nas regiões Sul e Sudeste do Brasil.;mudas/mapas/Tuia.jpg;
139;urucum;Urucum;Bixa orellana L.;Nativa;NA FH O RAD;Espécie nativa | Consumo humano de fruto | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;P;Perenifólia;3-5m;;;final do verão e no início do outono;Região amazônica até a BA. É cultivada nos demais estados.;mudas/mapas/Urucum.jpg;
140;uva-do-japao;Uva-do-japão;Hovenia dulcis Thunb.;Nativa;NA FH FA S O IND;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);D;Decídua;10-15m;;;;Cultivada principalmente no Sul, e em todas regiões do Brasil como curiosidade. ;mudas/mapas/Uva_do_japão.jpg;
141;uvaia;Uvaia;Eugenia pyriformis Camb.;Nativa;NA FH FA O RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;6-13m;;;setembro-janeiro;SP ao RS;mudas/mapas/Uvaia.jpg;
142;vassourao-preto;Vassourão-preto;Vernonia discolor (Spreng.) Less.;Nativa;NA RAD;Espécie nativa | Recuperação de áreas degradadas;P;Perenifólia;10-15m;;;;MG ao RS.;mudas/mapas/Vassourão_preto.jpg;
